F	F	20	1633.6
Na	Na	24	1368.6
Na	Na	24	2754
Mg	Mg	27	170.7
Mg	Mg	27	843.8
Mg	Mg	27	1014.4
Al	Al	28	1778.9
Si	Si	31	1266.2
S	S	37	3103.4
Cl	Cl	38	1642.7
Cl	Cl	38	2167.4
Ar	Ar	41	1293.6
K	K	42	312.7
K	K	42	1524.7
Ca	Ca	47	489.2
Ca	Ca	47	807.9
Ca	Ca	47	1297.1
Ca	Sc	47	159.4
Ca	Ca	49	3084.4
Sc	Sc	46	889.3
Sc	Sc	46	1120.5
Ti	Ti	51	320.1
Ti	Ti	51	928.6
V	V	52	1434.1
Cr	Cr	51	320.1
Mn	Mn	56	846.8
Mn	Mn	56	1810.7
Mn	Mn	56	2113.1
Fe	Fe	59	142.7
Fe	Fe	59	192.3
Fe	Fe	59	334.8
Fe	Fe	59	1099.3
Fe	Fe	59	1291.6
Co	Co	60	1173.2
Co	Co	60	1332.5
Co	Co	60	58.6
Co	Co	60	1332.5
Ni	Ni	65	366.3
Ni	Ni	65	1115.5
Ni	Ni	65	1481.8
Cu	Cu	64	511
Cu	Cu	64	1345.8
Cu	Cu	66	1039.2
Zn	Zn	65	1115.5
Zn	Zn	69	438.6
Zn	Zn	71	121.5
Zn	Zn	71	511.6
Ga	Ga	72	630
Ga	Ga	72	834
Ga	Ga	72	894.2
Ga	Ga	72	1050.7
Ga	Ga	72	2201.7
Ga	Ga	72	2491
Ga	Ga	72	2501.7
Ga	Ga	72	2507.9
Ge	Ge	75	198.6
Ge	Ge	75	468.8
Ge	Ge	75	617.7
Ge	Ge	75	139.7
Ge	Ge	77	211
Ge	Ge	77	215.5
Ge	Ge	77	264.4
Ge	Ge	77	367.4
Ge	Ge	77	416.3
Ge	Ge	77	558
Ge	Ge	77	631.8
Ge	Ge	77	714.4
Ge	Ge	77	1085.2
Ge	Ge	77	159.7
As	As	76	559.1
As	As	76	559.2
As	As	76	563.2
As	As	76	657.1
As	As	76	1212.9
As	As	76	1215.2
As	As	76	1216.1
Se	Se	75	121.1
Se	Se	75	136
Se	Se	75	264.7
Se	Se	75	279.5
Se	Se	75	400.7
Se	Se	77	162
Br	Br	80	616.6
Br	Br	80	665.8
Br	Br	82	554.3
Br	Br	82	619.1
Br	Br	82	698.4
Br	Br	82	776.5
Br	Br	82	827.8
Br	Br	82	1044
Br	Br	82	1317.5
Br	Br	82	1474.9
Rb	Rb	86	1077
Rb	Rb	88	898
Rb	Rb	88	1836
Rb	Rb	88	2677.9
Sr	Sr	85	514
Sr	Sr	85	231.9
Sr	Sr	87	388.5
Y	Y	90	202.5
Y	Y	90	479.5
Zr	Zr	95	724.2
Zr	Zr	95	756.7
Zr	Nb	95	765.8
Zr	Zr	97	254.2
Zr	Zr	97	355.4
Zr	Zr	97	507.6
Zr	Zr	97	602.4
Zr	Zr	97	703.8
Zr	Zr	97	1148
Zr	Nb	97	657.9
Zr	Nb	97	743.4
Nb	Nb	94	871
Mo	Mo	99	181.1
Mo	Mo	99	366.4
Mo	Mo	99	739.5
Mo	Mo	99	777.9
Mo	Tc	99	140.5
Mo	Mo	101	80.9
Mo	Mo	101	191.9
Mo	Mo	101	192.4
Mo	Mo	101	195.9
Mo	Mo	101	408.7
Mo	Mo	101	499.7
Mo	Mo	101	505.9
Mo	Mo	101	590.1
Mo	Mo	101	695.6
Mo	Mo	101	713
Mo	Mo	101	870.9
Mo	Mo	101	877.4
Mo	Mo	101	934.1
Mo	Mo	101	1011.1
Mo	Mo	101	1012.4
Mo	Mo	101	1012.5
Mo	Mo	101	1161
Mo	Mo	101	1251
Mo	Mo	101	1304
Mo	Mo	101	1532.5
Mo	Tc	101	127.2
Mo	Tc	101	184.1
Mo	Tc	101	306.8
Mo	Tc	101	531.4
Mo	Tc	101	545.1
Ru	Ru	97	215.7
Ru	Ru	103	497.1
Ru	Ru	103	610.3
Ru	Ru	105	262.8
Ru	Ru	105	469.4
Ru	Ru	105	469.5
Ru	Ru	105	676.4
Ru	Ru	105	724.3
Ru	Rh	105	318.9
Ru	Rh	105	129.6
Rh	Rh	104	555.8
Rh	Rh	105	306.1
Pd	Pd	109	309.1
Pd	Pd	109	311.4
Pd	Pd	109	647.3
Pd	Pd	109	188.9
Pd	Ag	109	88
Pd	Pd	111	172.2
Ag	Ag	108	434
Ag	Ag	108	618.9
Ag	Ag	108	633
Ag	Ag	110	657.5
Ag	Ag	110	446.8
Ag	Ag	110	620.4
Ag	Ag	110	657.8
Ag	Ag	110	677.6
Ag	Ag	110	687
Ag	Ag	110	706.7
Ag	Ag	110	706.8
Ag	Ag	110	744.3
Ag	Ag	110	763.9
Ag	Ag	110	818
Ag	Ag	110	884.7
Ag	Ag	110	937.5
Ag	Ag	110	1384.3
Ag	Ag	110	1475.8
Ag	Ag	110	1505
Ag	Ag	110	1562.3
Cd	Cd	115	527.9
Cd	In	115	336.2
In	In	114	190.3
In	In	114	558.4
In	In	114	725.2
In	In	116	138.3
In	In	116	416.9
In	In	116	818.7
In	In	116	1097.3
In	In	116	1293.5
In	In	116	1507.4
In	In	116	2112.1
Sn	Sn	113	255.1
Sn	In	113	391.7
Sn	Sn	117	156
Sn	Sn	117	158.5
Sn	Sn	117	158.6
Sn	Sn	123	160.3
Sn	Sn	125	332.1
Sn	Sn	125	822.5
Sn	Sn	125	1067.1
Sn	Sn	125	1088.9
Sn	Sn	125	331.9
Sb	Sb	122	564.2
Sb	Sb	122	692.7
Sb	Sb	124	602.7
Sb	Sb	124	645.9
Sb	Sb	124	722.8
Sb	Sb	124	1691
Sb	Sb	124	2090.9
Sb	Sb	124	498.4
Sb	Sb	124	602.7
Sb	Sb	124	645.8
Te	I	131	80.2
Te	I	131	284.3
Te	I	131	364.5
Te	I	131	637
I	I	128	442.9
I	I	128	526.6
Cs	Cs	134	563.2
Cs	Cs	134	569.3
Cs	Cs	134	604.7
Cs	Cs	134	795.9
Cs	Cs	134	802
Cs	Cs	134	1365.2
Cs	Cs	134	563.2
Cs	Cs	134	569.3
Cs	Cs	134	604.7
Cs	Cs	134	795.9
Cs	Cs	134	802
Cs	Cs	134	1365.2
Cs	Cs	134	127.42
Ba	Ba	131	123.8
Ba	Ba	131	133.6
Ba	Ba	131	216.1
Ba	Ba	131	239.6
Ba	Ba	131	249.4
Ba	Ba	131	373.2
Ba	Ba	131	404
Ba	Ba	131	486.5
Ba	Ba	131	496.3
Ba	Ba	131	585
Ba	Ba	131	620.1
Ba	Ba	131	1047.6
Ba	Ba	133	275.9
Ba	Ba	139	165.9
La	La	140	328.8
La	La	140	487
La	La	140	815.8
La	La	140	1596.2
Ce	Ce	141	145.4
Ce	Ce	143	231.6
Ce	Ce	143	293.3
Ce	Ce	143	350.6
Ce	Ce	143	664.6
Ce	Ce	143	721.9
